# Age      Mass       Teff       logL       logg       logR
4.3064e+07 4.6638e-01 2.6858e+04 1.2178e+00 5.5600e+00 -7.2658e-01
4.3163e+07 4.6638e-01 2.6857e+04 1.2180e+00 5.5597e+00 -7.2645e-01
4.3259e+07 4.6638e-01 2.6857e+04 1.2183e+00 5.5595e+00 -7.2633e-01
4.3355e+07 4.6638e-01 2.6856e+04 1.2184e+00 5.5593e+00 -7.2622e-01
4.3451e+07 4.6638e-01 2.6855e+04 1.2186e+00 5.5590e+00 -7.2612e-01
4.3547e+07 4.6638e-01 2.6854e+04 1.2187e+00 5.5588e+00 -7.2600e-01
4.3642e+07 4.6638e-01 2.6854e+04 1.2189e+00 5.5586e+00 -7.2590e-01
4.3736e+07 4.6638e-01 2.6853e+04 1.2191e+00 5.5584e+00 -7.2579e-01
4.3828e+07 4.6638e-01 2.6852e+04 1.2192e+00 5.5582e+00 -7.2568e-01
4.3919e+07 4.6638e-01 2.6851e+04 1.2194e+00 5.5579e+00 -7.2556e-01
4.4007e+07 4.6638e-01 2.6851e+04 1.2196e+00 5.5577e+00 -7.2545e-01
4.4094e+07 4.6638e-01 2.6850e+04 1.2198e+00 5.5575e+00 -7.2535e-01
4.4180e+07 4.6638e-01 2.6850e+04 1.2199e+00 5.5573e+00 -7.2526e-01
4.4267e+07 4.6638e-01 2.6849e+04 1.2201e+00 5.5571e+00 -7.2516e-01
4.4353e+07 4.6638e-01 2.6848e+04 1.2202e+00 5.5569e+00 -7.2506e-01
4.4438e+07 4.6638e-01 2.6847e+04 1.2204e+00 5.5567e+00 -7.2495e-01
4.4520e+07 4.6638e-01 2.6846e+04 1.2205e+00 5.5565e+00 -7.2484e-01
4.4600e+07 4.6638e-01 2.6846e+04 1.2207e+00 5.5563e+00 -7.2474e-01
4.4679e+07 4.6638e-01 2.6845e+04 1.2209e+00 5.5561e+00 -7.2465e-01
4.4758e+07 4.6638e-01 2.6845e+04 1.2210e+00 5.5559e+00 -7.2456e-01
4.4838e+07 4.6638e-01 2.6844e+04 1.2211e+00 5.5558e+00 -7.2448e-01
